rating_diff_from,rating_diff_till,rating_incr_higher_if_win,rating_incr_higher_if_draw,rating_incr_higher_if_loss,rating_incr_lower_if_win,rating_incr_lower_if_draw,rating_incr_lower_if_loss
0,3,50,0,-50,50,0,-50
4,10,49,-1,-51,51,1,-49
11,17,48,-2,-52,52,2,-48
18,25,47,-3,-53,53,3,-47
26,32,46,-4,-54,54,4,-46
33,39,45,-5,-55,55,5,-45
40,46,44,-6,-56,56,6,-44
47,53,43,-7,-57,57,7,-43
54,61,42,-8,-58,58,8,-42
62,68,41,-9,-59,59,9,-41
69,76,40,-10,-60,60,10,-40
77,83,39,-11,-61,61,11,-39
84,91,38,-12,-62,62,12,-38
92,98,37,-13,-63,63,13,-37
99,106,36,-14,-64,64,14,-36
107,113,35,-15,-65,65,15,-35
114,121,34,-16,-66,66,16,-34
122,129,33,-17,-67,67,17,-33
130,137,32,-18,-68,68,18,-32
138,145,31,-19,-69,69,19,-31
146,153,30,-20,-70,70,20,-30
154,162,29,-21,-71,71,21,-29
163,170,28,-22,-72,72,22,-28
171,179,27,-23,-73,73,23,-27
180,188,26,-24,-74,74,24,-26
189,197,25,-25,-75,75,25,-25
198,206,24,-26,-76,76,26,-24
207,215,23,-27,-77,77,27,-23
216,225,22,-28,-78,78,28,-22
226,235,21,-29,-79,79,29,-21
236,245,20,-30,-80,80,30,-20
246,256,19,-31,-81,81,31,-19
257,267,18,-32,-82,82,32,-18
268,278,17,-33,-83,83,33,-17
279,290,16,-34,-84,84,34,-16
291,302,15,-35,-85,85,35,-15
303,315,14,-36,-86,86,36,-14
316,328,13,-37,-87,87,37,-13
329,344,12,-38,-88,88,38,-12
345,357,11,-39,-89,89,39,-11
358,374,10,-40,-90,90,40,-10
375,391,9,-41,-91,91,41,-9
392,411,8,-42,-92,92,42,-8
412,432,7,-43,-93,93,43,-7
433,456,6,-44,-94,94,44,-6
457,484,5,-45,-95,95,45,-5
485,517,4,-46,-96,96,46,-4
518,559,3,-47,-97,97,47,-3
560,619,2,-48,-98,98,48,-2
620,9999999,1,-49,-99,99,49,-1
