Full name of player,Rating
Arthur Atreides,2984
Arthur Brownows,2310
Arthur Bumblethorpe,107
Arthur Crankleford,2471
Arthur Fizzlebottom,1831
Arthur Fluffernutter,1669
Arthur Johnsonessuh,551
Arthur Joneysah,1196
Arthur Kern,661
Arthur Leia,1698
Arthur McQuirklebee,2785
Arthur Smittoniaya,377
Arthur Snickerdoodle,728
Arthur Twistlepuff,597
Arthur VonWobbleton,2750
Arthur Williamzz,263
Arthur Wobblewitz,640
Arthur X,2206
Arthur Zigglewitz,1657
"Arthur van , Peter",590
Avrana Atreides,1216
Avrana Brownows,723
Avrana Bumblethorpe,1445
Avrana Crankleford,1998
Avrana Fizzlebottom,2708
Avrana Fluffernutter,915
Avrana Johnsonessuh,1581
Avrana Joneysah,3194
Avrana Leia,323
Avrana McQuirklebee,2383
Avrana Smittoniaya,152
Avrana Snickerdoodle,3268
Avrana Twistlepuff,3159
Avrana VonWobbleton,1167
Avrana Williamzz,196
Avrana Wobblewitz,350
Avrana X,1100
Avrana Zigglewitz,809
"Avrana van , Peter",1240
Bonnie Brownows,817
Bonnie Bumblethorpe,711
Bonnie Crankleford,658
Bonnie Fizzlebottom,2172
Bonnie Fluffernutter,1229
Bonnie Johnsonessuh,1004
Bonnie Joneysah,2648
Bonnie Kern,967
Bonnie Leia,676
Bonnie McQuirklebee,2827
Bonnie Smittoniaya,467
Bonnie Snickerdoodle,322
Bonnie Wobblewitz,2086
Bonnie X,3132
Bonnie Zigglewitz,3462
"Bonnie van , Peter",593
Butlerella Atreides,2885
Butlerella Brownows,2360
Butlerella Bumblethorpe,2339
Butlerella Crankleford,1381
Butlerella Fizzlebottom,2086
Butlerella Fluffernutter,1224
Butlerella Johnsonessuh,1833
Butlerella Joneysah,1126
Butlerella Kern,364
Butlerella McQuirklebee,1070
Butlerella Snickerdoodle,1988
Butlerella Twistlepuff,2302
Butlerella VonWobbleton,2612
Butlerella Williamzz,2952
Butlerella Wobblewitz,328
Butlerella X,2288
Butlerella Zigglewitz,1962
"Butlerella van , Peter",1554
Casper Brownows,518
Casper Bumblethorpe,2648
Casper Crankleford,1991
Casper Fizzlebottom,1952
Casper Fluffernutter,1037
Casper Johnsonessuh,166
Casper Joneysah,1187
Casper Kern,2878
Casper Leia,2051
Casper McQuirklebee,2673
Casper Smittoniaya,3209
Casper Snickerdoodle,1772
Casper VonWobbleton,960
Casper Zigglewitz,815
"Casper van , Peter",1402
Columbo Atreides,338
Columbo Brownows,2925
Columbo Crankleford,256
Columbo Fluffernutter,1431
Columbo Johnsonessuh,345
Columbo Joneysah,1714
Columbo Kern,293
Columbo McQuirklebee,1898
Columbo Smittoniaya,2264
Columbo Twistlepuff,1086
Columbo VonWobbleton,1928
Columbo Williamzz,713
Columbo Wobblewitz,2410
Columbo Zigglewitz,362
"Columbo van , Peter",1666
Fellow Atreides,1610
Fellow Brownows,2738
Fellow Crankleford,1421
Fellow Fizzlebottom,2646
Fellow Fluffernutter,1329
Fellow Johnsonessuh,3226
Fellow Joneysah,2140
Fellow Kern,1425
Fellow Leia,1609
Fellow McQuirklebee,2520
Fellow Snickerdoodle,682
Fellow Twistlepuff,1540
Fellow X,1437
Fellow Zigglewitz,1173
Fish Atreides,1684
Fish Brownows,2362
Fish Crankleford,2872
Fish Fluffernutter,2102
Fish Johnsonessuh,1983
Fish Joneysah,2062
Fish Kern,2872
Fish Leia,2560
Fish McQuirklebee,1736
Fish Snickerdoodle,1246
Fish Twistlepuff,2945
Fish VonWobbleton,3285
Fish Williamzz,3277
Fish Wobblewitz,2581
Fish X,3410
Fish Zigglewitz,2947
"Fish van , Peter",2934
Godfather Atreides,3180
Godfather Bumblethorpe,1042
Godfather Crankleford,2554
Godfather Fizzlebottom,3297
Godfather Fluffernutter,401
Godfather Johnsonessuh,3161
Godfather Kern,368
Godfather Leia,2773
Godfather McQuirklebee,1418
Godfather Smittoniaya,3098
Godfather Snickerdoodle,385
Godfather Twistlepuff,437
Godfather VonWobbleton,3388
Godfather Williamzz,541
Godfather Wobblewitz,1223
Godfather X,731
Godfather Zigglewitz,1863
"Godfather van , Peter",2158
Godmother Atreides,2968
Godmother Brownows,2738
Godmother Bumblethorpe,1442
Godmother Crankleford,1310
Godmother Fizzlebottom,3344
Godmother Fluffernutter,3317
Godmother Joneysah,559
Godmother Kern,1081
Godmother Leia,1799
Godmother McQuirklebee,891
Godmother Smittoniaya,3453
Godmother Snickerdoodle,222
Godmother Twistlepuff,1964
Godmother VonWobbleton,2384
Godmother Williamzz,458
Godmother Wobblewitz,354
Godmother X,2689
Godmother Zigglewitz,2316
"Godmother van , Peter",2152
Harold Atreides,1009
Harold Brownows,2463
Harold Bumblethorpe,1335
Harold Crankleford,657
Harold Fizzlebottom,1817
Harold Fluffernutter,1219
Harold Johnsonessuh,3485
Harold Joneysah,2088
Harold Kern,2988
Harold Leia,1447
Harold McQuirklebee,2640
Harold Smittoniaya,237
Harold Snickerdoodle,1818
Harold Twistlepuff,356
Harold Williamzz,1241
Harold Wobblewitz,2673
Harold X,1785
Harold Zigglewitz,3288
"Harold van , Peter",661
Hobbit Atreides,3049
Hobbit Brownows,1167
Hobbit Bumblethorpe,2522
Hobbit Crankleford,1037
Hobbit Fluffernutter,2803
Hobbit Johnsonessuh,792
Hobbit Kern,2910
Hobbit Leia,2982
Hobbit McQuirklebee,225
Hobbit Twistlepuff,1230
Hobbit VonWobbleton,1784
Hobbit Williamzz,354
Hobbit Wobblewitz,1246
Hobbit X,2240
Hobbit Zigglewitz,1002
"Hobbit van , Peter",668
Mefisto Atreides,1315
Mefisto Brownows,2919
Mefisto Bumblethorpe,1892
Mefisto Crankleford,2386
Mefisto Fizzlebottom,2204
Mefisto Fluffernutter,1058
Mefisto Joneysah,1253
Mefisto Kern,2982
Mefisto Leia,1826
Mefisto McQuirklebee,2618
Mefisto Smittoniaya,918
Mefisto Snickerdoodle,1689
Mefisto Twistlepuff,494
Mefisto Wobblewitz,1578
Mefisto X,3330
Mefisto Zigglewitz,1938
"Mefisto van , Peter",307
Mickey Atreides,3153
Mickey Brownows,901
Mickey Bumblethorpe,345
Mickey Crankleford,3187
Mickey Fizzlebottom,1805
Mickey Fluffernutter,2397
Mickey Johnsonessuh,2246
Mickey Joneysah,637
Mickey Leia,2597
Mickey Smittoniaya,1200
Mickey Snickerdoodle,664
Mickey Twistlepuff,2703
Mickey VonWobbleton,1064
Mickey Wobblewitz,532
Mickey X,3167
Mickey Zigglewitz,812
"Mickey van , Peter",1149
"Pjotr , not Iljitsj Atreides",2927
"Pjotr , not Iljitsj Brownows",1389
