Full name of player,Rating
Arthur Brownows,1888
Arthur Bumblethorpe,3474
Arthur Fizzlebottom,2469
Arthur Johnsonessuh,1189
Arthur Joneysah,2672
Arthur Kern,3449
Arthur Leia,2907
Arthur McQuirklebee,2957
Arthur Smittoniaya,3398
Arthur Snickerdoodle,1922
Arthur Twistlepuff,2541
Arthur VonWobbleton,1594
Arthur Williamzz,3203
Arthur X,1904
Arthur Zigglewitz,2217
"Arthur van , Peter",3029
Avrana Atreides,1402
Avrana Brownows,1922
Avrana Bumblethorpe,2602
Avrana Crankleford,3461
Avrana Fizzlebottom,3173
Avrana Johnsonessuh,1227
Avrana Joneysah,1287
Avrana Leia,2286
Avrana McQuirklebee,2427
Avrana Smittoniaya,1583
Avrana Snickerdoodle,3306
Avrana Twistlepuff,1542
Avrana VonWobbleton,2977
Avrana Williamzz,2401
Avrana Zigglewitz,2902
"Avrana van , Peter",2270
Butlerella Atreides,2749
Butlerella Brownows,2821
Butlerella Bumblethorpe,2576
Butlerella Crankleford,1153
Butlerella Fizzlebottom,1787
Butlerella Joneysah,2107
Butlerella Kern,1367
Butlerella Leia,3184
Butlerella McQuirklebee,1962
Butlerella Smittoniaya,1272
Butlerella Twistlepuff,2550
Butlerella VonWobbleton,3027
Butlerella Williamzz,3049
Butlerella X,1734
Butlerella Zigglewitz,2654
"Butlerella van , Peter",1409
Casper Atreides,2709
Casper Brownows,1905
Casper Bumblethorpe,3336
Casper Crankleford,2825
Casper Fizzlebottom,3363
Casper Johnsonessuh,3235
Casper Joneysah,1837
Casper Leia,1849
Casper McQuirklebee,2622
Casper Smittoniaya,2293
Casper Snickerdoodle,2372
Casper Twistlepuff,1679
Casper Williamzz,2389
Casper X,1249
Columbo Atreides,2623
Columbo Brownows,1702
Columbo Crankleford,1470
Columbo Fizzlebottom,2302
Columbo Johnsonessuh,1544
Columbo Joneysah,1228
Columbo Kern,2527
Columbo Leia,1536
Columbo McQuirklebee,2245
Columbo Snickerdoodle,3255
Columbo Twistlepuff,2172
Columbo VonWobbleton,1804
Columbo X,1735
Columbo Zigglewitz,3441
"Columbo van , Peter",2734
Fellow Bumblethorpe,1362
Fellow Crankleford,1290
Fellow Fizzlebottom,1809
Fellow Joneysah,2701
Fellow Kern,3445
Fellow McQuirklebee,2536
Fellow Smittoniaya,1713
Fellow Snickerdoodle,1564
Fellow Twistlepuff,2384
Fellow VonWobbleton,1559
Fellow Williamzz,1700
Fellow X,2021
Fellow Zigglewitz,2666
"Fellow van , Peter",2488
Fish Atreides,2974
Fish Brownows,2765
Fish Bumblethorpe,2358
Fish Fizzlebottom,2769
Fish Johnsonessuh,2357
Fish Joneysah,3120
Fish Kern,2163
Fish McQuirklebee,1310
Fish Smittoniaya,1185
Fish Snickerdoodle,1810
Fish Twistlepuff,2917
Fish VonWobbleton,1397
Fish Williamzz,1830
Fish X,1510
Fish Zigglewitz,2553
Godfather Brownows,1572
Godfather Bumblethorpe,2584
Godfather Crankleford,2781
Godfather Fizzlebottom,3462
Godfather Joneysah,2427
Godfather Kern,2617
Godfather Leia,3047
Godfather Smittoniaya,3169
Godfather Twistlepuff,2791
Godfather VonWobbleton,1178
Godfather Williamzz,3474
Godfather X,3172
Godfather Zigglewitz,1501
"Godfather van , Peter",2482
Harold Atreides,1523
Harold Brownows,2112
Harold Bumblethorpe,2427
Harold Fizzlebottom,3234
Harold Johnsonessuh,3281
Harold Joneysah,2122
Harold Kern,3441
Harold Leia,1785
Harold McQuirklebee,3353
Harold Smittoniaya,2391
Harold VonWobbleton,2563
Harold Williamzz,1385
Harold X,1266
"Harold van , Peter",2431
Hobbit Atreides,2704
Hobbit Brownows,2632
